id,caption
460494,Assorted meal sitting on a plate with a white glass of milk.
339442,A sandwich and some grapes are sitting on top of a tablecloth.
541055,A group of people on the ski slope in their skis. 
409475,Two people standing next to each other on a ski slope.
464786,A hot dog and a bun with some mustard.
378605,"A table with a napkin, doughnut on a plate, and a cup of coffee."
331817,A persons arm reaching over a table filled with food.
218091,A bedroom with a large bed sitting next to a black dresser.
578545,A pregnant woman laying in bed reading a book.
363207,A newly married couple sharing a piece of there wedding cake.
372577,a tennis player holding a tennis racket on a court
212166,A child with a messy face eating a plate of food with hands
172571,A very thick pizza is on a plate with one piece taken.
294831,Two pieces of pizza are served on a plate.
84431,A slice of pizza sitting on top of a white plate.
323355,A young kid is holding a box of pizza. 
355325,A pile of food sitting on top of a table next to a  glass of wine.
100582,There are meats and vegetables on a flatbread
555412,A pizza covered in lots of greens on top of a table.
4495,A living room with a couch and chair.
9483,A man in a suit standing next to a control board and computer.
326082,A very nice living room that is very clean.
398237,A small child is holding onto lawn decorations.
507223,A man that is standing in the dirt with a bat.
31050,A vase with various flowers in it on a display case.
239537,a man swinging a tennis racket and hitting a ball on a tennis court.
340930,Closeup of a cup holding scissors and other pens and pencils.
11813,A camera sits on a tripod connected to a laptop.
281414,A woman with a book bag sits on a ledge with her cell phone.
537991,a woman in a blue top with headphones and two cellphones
284282,A blender is sitting next to a printer.
321333,a couple of young kids are sitting together
521282,A vase filled with yellow and white flowers.
108026,A man holds a controller and keyboard with his hands
243204,A person is holding a spatula near slices of bread on a stove.
177935,A large white kitchen range with gold towels on the front.
38829,A man riding a bicycle with a boy on the back of it.
397327,A white bathroom is shown with a blue towel.
501523,A black cat is sitting in a bathroom sink.
555050,"A car driving in an intersection, past a furniture shop. "
376442,A black plush toy sitting on the lid of a toilet.
187243,A woman laying on a bathroom floor next to a toilet.
356347,A blue pot of tomato sauce with a wooden ladle.
293044,A plastic dish with the food sectioned off.
560279,Colorful lights reflect off the items inside this bathroom stall
42276,A toilet sitting in a room surrounded by personal items.
534827,a group of young men are riding their motocycles down the street
190756,A man flying through the air while riding a bike.
482917,"A dog sitting between its masters feet on a footstool watching tv
"
300659,A formation of airplanes flying through a  blue sky.
199977,The airplane in the sky is doing tricks while spitting out smoke. 
442480,A turboprop airplane that is in the hangar for repair. 
384350,a white and red plane parked on a tarmac
383621,Commercial airliner flying  near mast on cloudy day.
189828,Grey plane taking off above some green vegetation.
412894,Dozens of people walking around a metro area
537153,A couple of people sitting on top of a wooden bench.
361103,A city sidewalk with people walking up and down 
392722,A group of people standing next to a double decker bus.
338560,A blue fire hydrant posed on a street corner in a city.
264535,A man sitting alone on a park bench in a park.
295231,A group of animals standing on top of a grass covered field.
154947,A sheep standing in a dry grass field.
212559,A stable full of lambs standing and laying around.
458755,Young woman with sheep on straw covered floor.
104782,a stop sign and a white and green street sign and a tree
315257,A bird with outstretched blue wings is sitting on some bird feeder.
130599,A man punching an innocent giraffe in the side of it's head.
227187,a table that has some bananas on it
151662,a giraffe behind a fence eating grass from a feeder
461275,A cross road of Furnace St. and Crapo St. 
523811,A small bird perched on a piece of wood.
456559,A man wearing sunglasses and a black hat.
101068,A baseball player holding a bat while standing on a field.
140640,A group of women wearing hats while standing at a dessert table.
516708,A street sign that reads Sparta sitting next to a tall building.
544605,A bunch of brown signs on a pole.
385190,Street art painted on the wall in an asian country. 
338986,A train pulls up along some buildings. 
53994,A pretty red white and blue parking meter by some shrubs.
61171,A herd of black and white cows eating dry grass.
314034,A herd of cattle is feeding at the river's edge.
291490,A cat peeking it's head out of the blankets.
152740,A herd of animals grazing on a dry grass field.
24919,A herd of elephants standing on top of a field.
79837,The moon shining down on a harbor full of ships.
21903,A man is leaning over a fence offering food to an elephant/
564133,Some elephants walk together through the grass. 
337055,a woman with a tattoo is sitting on the train tracks
110638,A couple of large elephants standing next to a baby elephant.
34139,Two people posing next to a giant suitcase in front of a building.
80340,A boy in a tie holding a small suit case.
83113,Animals trying to either move or go around fallen tree branches
173033,A replica of a bear and her cub in a glass case in an exhibit.
255664,A yellow dog runs to grab a yellow frisbee in the grass 
72813,a dog laying on a bed with a tv in the background
545129,A group of zebra standing next to each other on a dirt field.
546011,A trio of zebras stand together in the grass.
121031,"A group of men traveling on horses in the water,"
172547,A very green hillside in the day time.
369081,A group of horses are grazing in the field.
509131,A bunch of mini bananas are hanging above a bowl of apples and oranges.
578922,A vase of red flowers sits on a bathroom countertop. 
464089,A baseball game showing a batter waiting for a pitch.
453708,A person carrying a crate on their shoulder that is full of bananas.
177714,A plate of cooked food in seen in this image.
459887,A group of slightly bruised banana's in a bowl.
155179,an upclose photo of a cake with chocolate pieces
261116,A table filled with a cake and paper plates with ice cream and cake.
396274,A plant in a garden near a white building.
29640,A skillet contains diced meat and mixed vegetables.
141328,a large bowl full of pasta with many other foods
308430,Someone is cooking a vegtable stir fry for dinner
43314,A man flying through the air while riding skis.
273715,A couple of people with some skis in the snow.
456303,A person on a snowboard who is performing a trick.
406611,A bunch of people are standing in the snow
475064,The front of a restaurant with someone holding up food 
466567,A tree with a donut as an ornament
137246,A woman holding a hot dog on the street.
15079,Two peanut butter and jelly sandwiches sliced in half
296284,A donut shop is full of different flavors of donuts.
226147,A woman is taking a picture of food with a mobile device.
226903,"A table with many different objects, including a plate of sandwiches. "
127517,A row of surfboards sticking out of the sand sitting next to each other.
162092,The woman is eating a piece of cake.
131379,The browned cracked crust of a baked berry pie.
366611,A dog is chewing on a soccer ball.
263969,Man and woman holding a knife up to a small cake. 
551439,A woman smiles from behind the book she has been reading.
474167,A woven basket with slices of pizza in it
159458,A dog rests on a bed in a bedroom where one person is also sitting.
554735,A person grabbing a slice of pizza from a pizza box.
99428,A stack of different electronics devices on a table.
386352,a tennis player who has just made a shot.
173004,A half eaten slice of pizza is on a plate with a knife and fork.
311394,A infant holding a baby toothbrush in his hand looking at it.
578489,A girl is playing a game system while other kids look on.
189310,"A living area with a red couch, mirror, window and painting."
491366,A couple of men in front of a television with a remote.
448076,Girl trying out a game at a trade show.
293804,A living room with a fire place and furniture.
312237,People are having fun on a crowded beach.
221291,Young boy posing in front of a flying kite in the park
141821,A close-up of a misshapen piece of pizza and a can of soda.
410650,A beautiful young woman swinging a tennis racquet on a tennis court.
199310,An old person is holding a tennis racket. 
323151,A pizza sitting on top of a white plate next to a glass of beer.
89648,A crowd of people sitting down next to each other.
219283,A teddy bear sitting in front of a pile of boxes.
471869,A teddy bear sitting on a blue chair.
520264,a man and woman standing side by side in a kitchen next to a window
111179,A church steeple that has a clock on it
151000,A woman taking pictures on a busy street.
100624,A woman walking down a street talking on a cell phone.
332570,the portable device is displaying a very important message.
57238,A white refrigerator freezer sitting inside of a kitchen.
502732,A metallic refrigerator freezer in a kitchen next to a cabinet.
135561,"The kitchen is lit with overhead lights, shining on the cupboard and sink"
8277,The meal consists of chopped chicken with cheese and brocolli.
173044,A very tall clock tower sitting next to a tall glass building.
168458,there is a small glass vase that has purple flowers in it
512194,A white pitcher holding flowers in a window sill.
370042,Large assortment of small and large vases displayed outdoors.
189436,A carved bear that has a ribbon around the neck.
533958,A white plate topped with a fried egg next to a salad.
117645,A man riding a snowboard down a snow covered slope.
221708,Lights shine on a wooden dining room table.
202228,The reflection of a man taking  a picture in a mirror
403565,A man wearing a bike helmet standing next to a bicycle.
211042,there is a cat that is drinking out of the toilet
492878,A bathroom sink and its reflection in the mirror.
441586,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON"
547816,A view of a bathroom with the shower curtain open.
306733,"Bathroom with sink, shower, towels, curtain, and more with window"
530099,A orange calico cat on top of a vehicle.
312278,Suitcases on top of a carrier onto of a vehicle.
97679,A car with a snowboard on it's ski rack parked in a foggy parking lot next to two cars with empty ski racks. 
564127,Toilet with a black lid and rolls of toilet tissue in a bathroom
251065,A black toilet in a tiled public bathroom stall.
3845,a chicken meal with carrots broccoli and rice
138819,The view of a bathroom with a wall mounted sink.
205834,a close up of a dog near a bowl
348708,The banana is laying next to an almost empty bowl.
166521,A room that has two televisions in it.
485802,An airplane leaving a trail in the sky.
99054,some planes on an air port run way
22969,Giraffes in their wood and grass zoo enclosure
570539,An older man is sitting on the bus above a movie advertisement.
278353,A small sheep is standing under a wooden fence post.
158548,Outdoor show with sheep prominent on grass field.
461405,A group of sheep in a grassy area with trees in the back ground.
176606,"A goat alongside a house, trying to go through the bushes"
44699,A group of animals grazing on a lush green field.
559956,A group of people kneeling down beside some sheep.
268996,A green street sign on a pole in front of a tall building.
11197,A man prepares to cross the street at a crosswalk
483667,a man wearing a top hat and a red tie 
448810,A street sign with six different locations on it.
724,A stop sign is mounted upside-down on it's post. 
51961,a wall with a bunch of graffiti on it
375278,An hand pets a cat in a suitcase.  
302165,A herd of cows laying on dry grass.
131131,A cat sitting in front of a large computer monitor.
98839,A cat curiously looking sideways at a television.
402992,Cattle lie in the grass to chew their cud.
465675,A beach with two boats and a tractor.
240754,A black goat with its mouth open next to a white goat. 
21167,The couple are dressed up and posing for photos.
148730,a boat is sitting next to a dock
384468,A group of people riding a large gray elephant.
253742,A woman standing next to a herd of animals.
186873,Large canoe with many people on lake with trees lining shore.
82180,A teddy bear and a stuffed raccoon sitting on a faded wooden outdoor chair.
446522,A dog sitting on a chair underneath a painting.
552902,a zebra grazes on some green grass next to some trees 
125405,Two brown and white dogs running in a park. 
110211,Zebras and rhinos out in the wild on a sunny day 
16010,An outdoor area with many animals inluding a zebra and a rhinoceros.  
64462,A skier posing on a steep snowy hill.
314182,Four bowls of different eatables are kept on the slab.
248980,A blue plate with a green salad on top of it.
68387,"The baseball player is participating in an intense game,"
429281,a table full of bananas being sold outside
345466,A pitcher holds his arm far behind him during a pitch.
352900,A plate of noodles and broccoli are shown.
118367,"Hot dog on a roll with cheese, onions, and herbs."
113235,A hand is holding a carrot for a llama to chew. 
311303,A cup with soda in front of a panini with a side of greens.
163640,A man holding a piece of food by a string.
370999,some little stones sitting around a dime 
1490,A man in a wet suit stands on a surfboard and rows with a paddle.
329456,A group of people walking down a mountain road.
570471,Man cutting a cake on the table in the kitchen.
88269,A plate holding a grilled cheese sandwich and bowl of soup.
260470,A counter topped with a large white frosted cake sitting next to small pastry.
193494,A bed in a ten with a colorful ceiling.
252776,a man glares as other people behind him look on
201072,A tennis player prepares to react during a match.
18150,a man holding a piece of pizza in front of a kid 
337498,A large slice of pizza with cheese and marinara sauce on a plate. 
521405,A stuffed animal sitting in front of a tooth brush.
518770,Some kids standing up playing wii with each other
201646,An extremely focused man playing with the Wii.
36936,Two people play video games while sitting on a couch.
59044,A group of people looking at some kind of show or exhibit 
172946,A group of people standing around holding Nintendo Wii controllers.
234607,A man and a woman playing a game on the Nintendo Wii.
532690,A woman playing a Wii game with other people.
323895,A man in yellow shirt and black shorts playing a game of tennis.
384670,Two people on a blue and green tennis court.
50326,A man holding a kite on a beach during the day.
205542,A teddy bear is placed on a metallic sculpture.
217957,A clock is shown with gold detailing around it.
162035,A sign with teddy bears on it is advertising a tea room.
415727,A couple of men standing next to each other.
46252,A batter ready to swing at home plate with an umpire and catcher behind him 
182021,A man holding a baseball bat while standing on a baseball field.
231747,Baseball memorabilia is displayed in glass stacked casings.
90284,a woman is striking a ball with a racket
286553,A copse of men sitting next to each other at a table.
488736,Large four sided clock hangs on the corner of the building.
63602,A laptop computer sitting on top of a white desk.
383386,a couple of stuffed bears are on a bed
450686,A hand holding a smart phone with apps on a screen.
5060,A man in green shirt with cellphone reflecting in a mirror.
286523,A man talking on his cell phone with his other hand in his ear.
120420,A man holding a silver flip phone open in front of his face.
579655,A woman holding a phone in one hand up to her ear. 
117908,A man looking in the refrigerator with a cat also looking inside 
550322,A metal cup filled with scissors and two ladels.
322844,there are two stuffed animals on a wooden bench
218362,A large digital clock mounted to a wall.
213224,A vase filled with flowers next to a smaller vase filled with even more flowers.
223747,a man sleeping with his cat next to him
297578,A man walking down a street smoking a cigarette.
458992,a woman poses in front of a giant pizza
78266,Kitchen utensils and appliances have been left unattended
164602,A man and a woman standing in front of a mirror.
440475,"A room with a Tv, potted plant, tables and chairs"
101762,A cat standing next to a bike parked against a wall.
557501,A bathroom is very colorful with blue yellow and red.
203317,A red and white bicycle next to a building and door.
368940,a bathroom with a mirror and a sink
569917,A small bathroom has a sink and a storage rack over the toilet.
144798,a close up of a toilet and a bath tub with toys
284623,A black cat sits in a bathroom sink.
520301,A brown dog hanging it's head out of a car window.
127987,A baseball player bobble head next to two computer monitors on a desk.
63740,Two computers sitting on top of a desk.
36494,the people are all in a restaurant some are sitting 
210032,Two birds preparing to eat food off of a plate that was left on a table outside by the ocean.
488270,An airplane with wheels wheels barely off ground tilted slightly upward from the pavement to the blue sky.
67180,A woman sitting on a wooden bench on a wall.
281179,A rain covered terrain after a night of rain. 
64359,Three zebra and four giraffe inside a fenced area.
126226,A group of guys in  a dugout with their gear 
190923,"An urban street with a streetlight, one way sign, and people walking."
150265,A group of people walking down a sidewalk.
216739,A giraffe facing the camera as its photo is taken.
38048,A red fire hydrant on a city sidewalk.
354829,A car is parked on the side of the street in the rain.
525155,A man in black carrying a sheep on his shoulders.
163314,People are walking in front of some shops.
259571,An orange truck driving down a street full of men in the back.
561679,A big orange sign about street maintenance near a street.
236166,A man holding a small white dog while wearing a black hat.
153529,A woman with suitcases waiting for a train.
473015,A duck swims in some water near some vegetation. 
379800,An orange train engine moves down the track with one train car behind it.
253835,A woman and a small child watch a train as it passes.
34071,The photo of the double parking meter has a blurry city in the background.
36861,A parking meter on the side of the street with a ring for attaching bicycles.
569565,A yellow dump truck driving past a forest.
219271,Large group of people surrounding a truck on a mountain. 
205647,A semi truck pulling a chain of three trailers.
460841,a kitten that is sitting down by a  door
123131,A large black semi parked in a parking lot.
334006,a large blue truck is driving down the street
511599,Several people are standing outside a large boat. 
229858,A deer standing next to a small deer in a forest.
174004,A yellow work truck parked in tall grass.
519764,Cat lethargically on comfy computer chair looking relaxed.
137576,"All of the cows are poking their heads out, eating some hay. "
87470,A bunch of cows walking on the side of the road
9769,The pick up truck is plowing the snow. 
558114,Basketball players walking on court with coach in wearing dark suit.
205776,A bear laying in a canvas type net
163257,A man in a neon green shirt and black pants holding a pink umbrella.
475678,"Many pieces of luggage gathers together, all with tags attached."
85478,There is a polar bear swimming in the water.
318080,two different bears fight with each other behind a log
361551,Some are standing outside a building with suitcases.
236784,two dogs laying down on a brown couch
92839,A polar bear with his chin raised lies on a rock.
42296,a polar bear partially submerged in a body of water
560266,Two brown bears swimming together in the water.
486479,A large white dog laying underneath a bed.
127955,there are two brown bears that are playing together in the water
307658,A brown fuzzy bear standing in front of a leaf filled tree.
417465,An adult black bear let's his long tongue protrude.
342971,A man catching a green Frisbee next to a  field.
11760,A group of zebras walking away from trees.
69106,Three zebras standing in front of a wall.
70158,Three adult zebras walk calmly along close together.
176634,A zebra playing on a field with logs of tree
281447,Horse in fenced pasture with others grazing on grasses.
552371,Close up of two horses inside of the fence
361919,A group of people skiing down the side of a snow covered mountain.
560256,A market area with boxes of fruit that includes bananas and pineapples.
138115,An old man making duck lips while holding an orange.
114871,A plate with a banana and slices of cheese.
374369,a person standing snow wearing a snow suit and skis
123213,a baseball player on a field with a bat 
123321,A bowl of broccoli with sauce over it.
15278,A white plate topped with broccoli and a dumpling.
357742,A person on skis sliding up down a path.
439854,A man riding a skateboard along a sandy beach.
465836,A group of men standing next to each other.
414385,A man walking down a street next to a road filled with cars.
131556,a man skiing along a rail on the snowy hill 
322724,a man that is skiing down a snowy field
320664,A hot dog is on a plate with macaroni and cheese.
481390,A group of young men playing a game of basketball.
109916,Twp cake pans sitting and cooling on the stove
276434,Bride and grooms arms cutting the wedding cake with fruit on top.
579635,A man surfing in the ocean with a sail boat behind him.
295316,some people are riding surfboards on a wave
571313,A small room with different types of furniture and appliances that it makes it hard to tell what type of room it is.
183127,a man is riding a surfboard at the beach
115898,A man in black wetsuit on white surfboard riding wave.
146358,"A couple stands next to a wedding cake.
"
329542,A hand adding a cherry to some small tarts.
189752,That salad and pizza make a filling lunch.
290163,A little girl puts her hand in a pasta dish. 
91406,Several women gathered together posing with 6 pizzas in take out boxes.
322352,A dining room with some plants are seen.
223959,A man holding a tennis racquet on a tennis court.
326248,Two tennis players consult with the referee during a tennis match. 
218439,A man laying on his bed looking at a phone and brushing his teeth
453722,room with wood floors and a stone fire place
293625,The women are playing a video game together.
411817,A group of people playing with interactive gaming units.
546964,A room filled with furniture and very large rugs.
215259,Two women playing a game with a Nintendo Wii controller.
573094,"A room with chair, bicycle, television and a Christmas tree."
560011,A mouse is next to a keyboard on a desk
38576,A desktop computer with it's monitor sitting on it's side.
147729,People gathered taking pictures with a cell phone.
579307,Man and son standing on the beach side with a self assembled kite.
154425,A small boy trying to fly a small kite
432898,The man is flying his kite in the sky. 
404923,A baseball player holding a baseball bat is getting filmed by a camera man.
130586,a boy making a face while running to get his kite in the air
163057,A group of people flying kites on a grassy field next to buildings.
7511,A man is flying a kite at the beach.
67406,A pair of men fly a kite in a grassy field.
290179,A great shot of a very nice and large city somewhere.
248752,A person on a field with a baseball bat.
54593,The action in an organized youth baseball game.
116208,A very large pizza covered in cheese and toppings.
340697,a close up of many drinks in a fridge 
450303,A group of people sitting around a table in front of computers.
494427,A laptop computer sitting on top of a wooden table.
137294,A man reaching into a freezer while standing next to a woman in a park.
410880,A large and over-sized stuffed teddy bear sitting in a chair.
311180,The man's hand is bigger then the scissors he is holding. 
91654,An orange bowl filled with lots of noodles and beef.
181796,A close-up of a plate of food containing meat and beans.
2431,A plate on a wooden table full of bread.
349184,A woman sitting on top of a wooden bench near a park.
298396,Kitchen area with counter top space and dining room table. 
472046,"A kitchen with a stove, sink, table, chairs and couches."
74058,A sidewalk next to the outdoor sitting area of a restaurant.
58029,a bathroom with a big mirror above the sink
134096,A calico cat drinking from a sink faucet.
111951,A couple of white bathroom sinks sitting next to a toilet.
103585,A bathroom with two sinks sitting under mirrors.
210273,Buses and cars on interstate going both ways. 
352584,A sculpture of a toilet made from woven wood. 
446651,Young girl with helmet on hold on tight to her father driving the motorcycle.
194875,Here are motorcyclists parked outside a Polish gathering spot for women
52017,A yellow and blue plant flying in a gray sky.
336309,a large passenger airplane flying through a cloudy sky
227478,"two women sitting on a park bench, one looking over her shoulder"
339870,A tall church tower sitting on the side of a road.
80666,A cat sitting on top of a bench in a field.
33707,Two giraffes are standing next to a building.
327601,A woman sitting on a unique chair beside a vase. 
255749,A bus stopped at a curb to allow people to board the bus. 
8762,Street lights and a lit up street sign at an intersection.
526392,Several cars travelling on a street with several traffic lights. 
535578,A group of sheep grazing in a grassy valley.
580757,A fire hydrant that has the stars and stripes on it.
165039,A bus driving in a city area with traffic signs.
148719,An older Dodge pickup sits parked next to another older pickup.
108440,A train that is on a rail over a bridge.
489842,All of the children are gathered around Santa Claus.
